m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
100,100,0.1,0.12,0.82,15.020149551330267,15.619418267974762
150,100,0.14,0.14,1.0,12.567916622304828,12.890793427877346
200,100,0.18,0.16,1.15,10.575191836427107,10.752461833163007
250,100,0.21,0.17,1.29,9.056234954825205,9.152710785546624
300,100,0.24,0.18,1.41,7.891737845939939,7.947769864873601
350,100,0.27,0.2,1.52,6.9820273935209896,7.014740375196983
400,100,0.3,0.21,1.63,6.255558960328851,6.274580135222272
450,100,0.33,0.22,1.74,5.663754360781351,5.67526959311516
500,100,0.35,0.22,1.83,5.172653971690609,5.178727894429309
550,100,0.38,0.23,1.93,4.759059427173605,4.761998977129234
600,100,0.41,0.24,2.0273637853542668,4.405845659381846,4.407525646091438
650,100,0.43,0.25,2.117363604820544,4.100626527820144,4.101146059747565
700,100,0.46,0.26,2.2051980507400284,3.834200238013963,3.834200290009268
750,100,0.48,0.26,2.291159983678486,3.599714028663441,3.5997139984204853
800,100,0.5,0.27,2.37549153201918,3.391550496915239,3.3915504566383468
850,100,0.53,0.27,2.458399470598394,3.205232120059456,3.2052320731403
900,100,0.55,0.28,2.5400632586890173,3.0376242243983347,3.037624244698025
950,100,0.57,0.29,2.6206423377521832,2.8858073892927334,2.8858073830314463
1000,100,0.6,0.29,2.700279829536434,2.747863830412823,2.7478638078577275
1050,100,0.62,0.3,2.77910781144526,2.621771831767175,2.621771849812984
1100,100,0.64,0.3,2.8571391886098723,2.505959574650426,2.505959564194954
1150,100,0.66,0.31,2.9343017552836734,2.3993256082467833,2.3993256082467833
1200,100,0.69,0.31,3.010811896690079,2.3007296810132476,2.3007296810132476
1250,100,0.71,0.32,3.086788226386869,2.2093343317420824,2.2093343317420824
1300,100,0.73,0.32,3.162318563258243,2.1242453294282932,2.1242453377548953
1350,100,0.75,0.33,3.237478728628504,2.0448633890228605,2.0448633890228605
1400,100,0.78,0.33,3.3123444746350574,1.9707218500948913,1.9707218500948913
1450,100,0.8,0.33,3.3869931512291602,1.901116497748435,1.901116497748435
1500,100,0.82,0.34,3.4615032286052942,1.835762861191464,1.835762861191464
1550,100,0.84,0.34,3.5359345107478752,1.7742712982705302,1.7742712982705302
1600,100,0.86,0.35,3.610386473606236,1.716180622546082,1.716180622546082
1650,100,0.88,0.35,3.6849410435319214,1.6613215386087028,1.6613215386087028
1700,100,0.9,0.35,3.759681864328819,1.6094255103779271,1.6094255103779271
1750,100,0.93,0.36,3.8346951237907465,1.560180080230215,1.560180080230215
1800,100,0.95,0.36,3.910086744798459,1.5134478146688908,1.5134478146688908
1850,100,0.97,0.37,3.9859376156187465,1.4689708348535857,1.4689708348535857
1900,100,0.99,0.37,4.062403324036558,1.4266463748854143,1.4266463748854143
1950,100,1.01,0.37,4.139619760486952,1.38,1.38
2000,100,1.03,0.38,4.2176932027448,1.34,1.34
2050,100,1.05,0.38,4.296684936716364,1.31,1.31
2100,100,1.07,0.38,4.376762807245207,1.27,1.27
2150,100,1.09,0.39,4.458174117971445,1.24,1.24
2200,100,1.11,0.39,4.541109204516545,1.2,1.2
2250,100,1.13,0.39,4.62572055138588,1.17,1.17
2300,100,1.15,0.4,4.712067189350983,1.14,1.14
2350,100,1.17,0.4,4.800349757918713,1.11,1.11
2400,100,1.19,0.4,4.891024799133249,1.09,1.09
2450,100,1.21,0.41,4.984089732207368,1.06,1.06
2500,100,1.23,0.41,5.079608770734342,1.03,1.03
2550,100,1.25,0.41,5.177566555787276,1.01,1.01
2600,100,1.27,0.41,5.277769720401172,0.99,0.99
2650,100,1.29,0.42,5.380481276079521,0.96,0.96
2700,100,1.31,0.42,5.485702037777205,0.94,0.94
2750,100,1.33,0.42,5.592440322066583,0.92,0.92
2800,100,1.35,0.43,5.700134986802706,0.9,0.9
2850,100,1.36,0.43,5.809158403520423,0.88,0.88
2900,100,1.38,0.43,5.917446441573366,0.86,0.86
2950,100,1.4,0.43,6.02441925631072,0.84,0.84
3000,100,1.42,0.44,6.129175726224155,0.82,0.82
3050,100,1.44,0.44,6.231778617948162,0.8,0.8
3100,100,1.46,0.44,6.329827573015249,0.79,0.79
3150,100,1.48,0.45,6.421722544308552,0.77,0.77
3200,100,1.49,0.45,6.5071597557471055,0.75,0.75
3250,100,1.51,0.45,6.586408648381565,0.74,0.74
3300,100,1.53,0.45,6.660657172712962,0.72,0.72
3350,100,1.55,0.46,6.728791132207019,0.71,0.71
3400,100,1.57,0.46,6.790589453796307,0.69,0.69
3450,100,1.58,0.46,6.845374989709331,0.68,0.68
3500,100,1.6,0.46,6.893493708648089,0.66,0.66
3550,100,1.62,0.47,6.935200342786386,0.65,0.65
3600,100,1.63,0.47,6.970447383448476,0.63,0.63
3650,100,1.65,0.47,7.000472355814369,0.62,0.62
3700,100,1.67,0.47,7.026486761144433,0.61,0.61
3750,100,1.69,0.48,7.048906091966934,0.6,0.6
3800,100,1.7,0.48,7.067501986038225,0.58,0.58
3850,100,1.72,0.48,7.08254819346276,0.57,0.57
3900,100,1.74,0.48,7.0943345297215545,0.56,0.56
3950,100,1.75,0.49,7.103013157254036,0.55,0.55
4000,100,1.77,0.49,7.1084640061343976,0.54,0.54
4050,100,1.79,0.49,7.111102172946104,0.53,0.53
4100,100,1.8,0.49,7.111204535424399,0.51,0.51
4150,100,1.82,0.5,7.108998430486637,0.5,0.5
4200,100,1.83,0.5,7.104763639683943,0.49,0.49
4250,100,1.85,0.5,7.098869162466724,0.48,0.48
4300,100,1.87,0.5,7.091381417642659,0.47,0.47
4350,100,1.88,0.51,7.082444470705119,0.46,0.46
4400,100,1.9,0.51,7.072376786922063,0.45,0.45
4450,100,1.91,0.51,7.061175431780789,0.44,0.44
4500,100,1.92,0.51,7.048978546427652,0.43,0.43
4550,100,1.94,0.51,7.035994822881592,0.43,0.43
4600,100,1.96,0.52,7.022326037464991,0.42,0.42
4650,100,1.97,0.52,7.0078413203777075,0.41,0.41
4700,100,1.99,0.52,6.99250627259717,0.4,0.4
4750,100,2.0,0.52,6.976319264361336,0.39,0.39
4800,100,2.02,0.53,6.959215438381834,0.38,0.38
4850,100,2.03,0.53,6.941157935024374,0.37,0.37
4900,100,2.05,0.53,6.922242831714224,0.36,0.36
4950,100,2.06,0.53,6.902728473346665,0.36,0.36
5000,100,2.08,0.53,6.882809274047436,0.35,0.35
5050,100,2.09,0.54,6.862541245008994,0.34,0.34
5100,100,2.11,0.54,6.842042937650295,0.33,0.33
5150,100,2.12,0.54,6.821336901740738,0.32,0.32
5200,100,2.1391814384108847,0.54,6.800416081345482,0.32,0.32
5250,100,2.1532926689074663,0.55,6.779339078550315,0.31,0.31
5300,100,2.167325222816227,0.55,6.758145576743364,0.3,0.3
5350,100,2.181280313817841,0.55,6.736803933106021,0.29,0.29
5400,100,2.195159083820366,0.55,6.715292586617499,0.29,0.29
5450,100,2.2089626898413264,0.55,6.693670852853951,0.28,0.28
5500,100,2.2226919643564176,0.56,6.671965420464907,0.27,0.27
