m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
100,100,0.12,0.14,1.02,15.939524767423851,16.405118180421564
150,100,0.17,0.17,1.26,13.321823849649231,13.556188159367316
200,100,0.22,0.19,1.46,11.218207862394067,11.338507297382254
250,100,0.26,0.21,1.65,9.613092265562123,9.676667624708688
300,100,0.3,0.22,1.82,8.380909925249545,8.4132556225896
350,100,0.34,0.24,1.98,7.417117651700938,7.433502654556997
400,100,0.38,0.25,2.1407477654763394,6.646269448062577,6.656003690162517
450,100,0.41,0.26,2.2891388627130964,6.018691508231032,6.02213164739619
500,100,0.45,0.27,2.432777063750128,5.4974478860527745,5.49844120511589
550,100,0.48,0.28,2.572521902159707,5.0585408765336615,5.0585409213987935
600,100,0.52,0.29,2.709056936108373,4.684112597839798,4.684112568396169
650,100,0.55,0.3,2.842932216109469,4.360445105456629,4.360445128088986
700,100,0.58,0.31,2.974587967954826,4.077817281047398,4.077817272648279
750,100,0.62,0.32,3.1043960601087752,3.8287162343608703,3.828716235925809
800,100,0.65,0.33,3.2326800423992905,3.608112965840831,3.6081129785780752
850,100,0.68,0.33,3.359730263507049,3.4104611237506495,3.4104611168840635
900,100,0.71,0.34,3.485811602461624,3.2328084173764453,3.232808432031941
950,100,0.75,0.35,3.6107883650818033,3.0719031858184147,3.071903178140597
1000,100,0.78,0.35,3.73479879677351,2.925618604024305,2.9256185926268703
1050,100,0.81,0.36,3.8582014184651907,2.791921302932271,2.791921300819288
1100,100,0.84,0.37,3.9811978745928616,2.669216841024229,2.669216832506274
1150,100,0.88,0.37,4.1039581698870755,2.5561663215885075,2.5561663215885075
1200,100,0.91,0.38,4.226662497636572,2.4516465931238307,2.4516465931238307
1250,100,0.94,0.38,4.349496190318316,2.354699489127796,2.354699489127796
1300,100,0.97,0.39,4.472625388980534,2.2645690001012877,2.2645690001012877
1350,100,1.0,0.4,4.59629279192185,2.180426732744129,2.180426732744129
1400,100,1.03,0.4,4.720706626541463,2.1018377652753335,2.1018377652753335
1450,100,1.07,0.41,4.846109371115065,2.028056673446099,2.028056673446099
1500,100,1.1,0.41,4.972776004632488,1.9587810937213888,1.9587810937213888
1550,100,1.13,0.42,5.100982234541784,1.8935986042706388,1.8935986042706388
1600,100,1.16,0.42,5.231203521428267,1.8320617134246882,1.8320617134246882
1650,100,1.19,0.43,5.363733486224958,1.7739407902624758,1.7739407902624758
1700,100,1.22,0.43,5.4988427404465074,1.7188762132275228,1.7188762132275228
1750,100,1.25,0.44,5.637133475111971,1.6666946763181856,1.6666946763181856
1800,100,1.28,0.44,5.779294332077867,1.617099729476384,1.617099729476384
1850,100,1.32,0.45,5.925810455901657,1.5699622046280919,1.5699622046280919
1900,100,1.35,0.45,6.076964074743119,1.5250307727894479,1.5250307727894479
1950,100,1.38,0.45,6.23393726357929,1.4822143207610088,1.4822143207610088
2000,100,1.41,0.46,6.3971448379555,1.4413625202714242,1.4413625202714242
2050,100,1.44,0.46,6.566821243908768,1.4,1.4
2100,100,1.47,0.47,6.742619762345256,1.36,1.36
2150,100,1.5,0.47,6.925029421823791,1.32,1.32
2200,100,1.53,0.48,7.11352368209534,1.29,1.29
2250,100,1.56,0.48,7.30519893780157,1.26,1.26
2300,100,1.59,0.48,7.500005879687006,1.22,1.22
2350,100,1.62,0.49,7.693049792879462,1.19,1.19
2400,100,1.64,0.49,7.881547590533239,1.17,1.17
2450,100,1.67,0.49,8.064236618324632,1.14,1.14
2500,100,1.7,0.5,8.234423771043652,1.11,1.11
2550,100,1.73,0.5,8.388967047493903,1.08,1.08
2600,100,1.76,0.51,8.528708451654056,1.06,1.06
2650,100,1.79,0.51,8.655477275145364,1.03,1.03
2700,100,1.82,0.51,8.767336389991867,1.01,1.01
