m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
1.0,1.0,0.0,0.0,0.01,0.64,1.11
1.1,1.0,0.0,0.0,0.01,0.67,1.17
1.2000000000000002,1.0,0.0,0.0,0.01,0.7,1.22
1.3000000000000003,1.0,0.0,0.0,0.01,0.72,1.27
1.4000000000000004,1.0,0.0,0.0,0.01,0.75,1.33
1.5000000000000004,1.0,0.0,0.0,0.01,0.77,1.37
1.6000000000000005,1.0,0.0,0.0,0.01,0.8,1.42
1.7000000000000006,1.0,0.0,0.0,0.01,0.82,1.47
1.8000000000000007,1.0,0.0,0.0,0.01,0.84,1.52
1.9000000000000008,1.0,0.0,0.0,0.02,0.87,1.56
2.0,1.0,0.0,0.0,0.02,0.89,1.61
3.0,1.0,0.0,0.0,0.02,1.07,2.0187291343399356
4.0,1.0,0.0,0.0,0.02,1.23,2.383800024460903
5.0,1.0,0.0,0.0,0.02,1.37,2.724625164060738
6.0,1.0,0.0,0.0,0.03,1.5,3.049317906016557
7.0,1.0,0.0,0.0,0.03,1.61,3.3620847573313735
8.0,1.0,0.0,0.0,0.03,1.73,3.6651578233321747
9.0,1.0,0.0,0.0,0.03,1.83,3.9599334732620037
10.0,1.0,0.0,0.0,0.03,1.94,4.247388435414176
11.0,1.0,0.0,0.0,0.03,2.039283513336043,4.528127476490275
12.0,1.0,0.0,0.0,0.04,2.133881264722786,4.802963502076578
13.0,1.0,0.0,0.0,0.04,2.225221371622472,5.071414771276248
14.0,1.0,0.0,0.0,0.04,2.3136219320997853,5.333607743084336
15.0,1.0,0.0,0.0,0.04,2.399309049879337,5.589617811055054
16.0,1.0,0.0,0.0,0.04,2.4824973129555272,5.839210052600514
17.0,1.0,0.0,0.0,0.04,2.5633344735763646,6.082205203631465
18.0,1.0,0.0,0.0,0.04,2.6420022778749828,6.318349894090325
19.0,1.0,0.0,0.0,0.04,2.7189470968973186,6.547247972740832
20.0,1.0,0.0,0.0,0.04,2.7936067455000084,6.768634574575824
21.0,1.0,0.0,0.0,0.04,2.8662819016019814,6.982351495519961
22.0,1.0,0.0,0.0,0.04,2.9371031766729834,7.18811732522512
23.0,1.0,0.0,0.0,0.05,3.0061149919369305,7.385816701605633
24.0,1.0,0.0,0.0,0.05,3.073373503410966,7.5754326710450375
25.0,1.0,0.0,0.0,0.05,3.138902797274832,7.756916014635911
26.0,1.0,0.0,0.0,0.05,3.202743631291384,7.930311279557088
27.0,1.0,0.0,0.0,0.05,3.264893163940512,8.095688586659525
28.0,1.0,0.0,0.0,0.05,3.3254143232379,8.253212928368727
29.0,1.0,0.0,0.0,0.05,3.3842902606900647,8.402706212534564
30.0,1.0,0.0,0.0,0.05,3.4415395514127534,8.54400634095506
31.0,1.0,0.0,0.0,0.05,3.497178353114944,8.677234261601638
32.0,1.0,0.0,0.0,0.05,3.551206857047324,8.80214737815672
33.0,1.0,0.0,0.0,0.05,3.6036690425671414,8.918683883401386
34.0,1.0,0.0,0.0,0.05,3.6545779166612045,9.026798448271386
35.0,1.0,0.0,0.0,0.05,3.7039589085994615,9.126261963799145
36.0,1.0,0.0,0.0,0.05,3.751804363285489,9.217149556115407
37.0,1.0,0.0,0.0,0.05,3.798143989010685,9.299500155049286
38.0,1.0,0.0,0.0,0.05,3.843054877617319,9.373009080746689
39.0,1.0,0.0,0.0,0.05,3.8865327911813194,9.437930774318303
40.0,1.0,0.0,0.0,0.06,3.9286199057107365,9.494754732062372
41.0,1.0,0.0,0.01,0.06,3.9693299680800043,9.543141445162064
42.0,1.0,0.0,0.01,0.06,4.008832188717441,9.583674989476389
43.0,1.0,0.0,0.01,0.06,4.047014071829274,9.616711107936004
44.0,1.0,0.0,0.01,0.06,4.0840024479752834,9.64239989557254
45.0,1.0,0.0,0.01,0.06,4.11981513236551,9.661564736006902
46.0,1.0,0.0,0.01,0.06,4.154494397618056,9.674515669192262
47.0,1.0,0.0,0.01,0.06,4.188110369950317,9.681485625217874
48.0,1.0,0.0,0.01,0.06,4.220702162559056,9.683322362763658
49.0,1.0,0.0,0.01,0.06,4.252270852930158,9.67998655238785
50.0,1.0,0.0,0.01,0.06,4.282843174646318,9.672492646955186
51.0,1.0,0.0,0.01,0.06,4.312447437212991,9.660672760631117
52.0,1.0,0.0,0.01,0.06,4.341110508883482,9.645121541308937
53.0,1.0,0.0,0.01,0.06,4.368754272743134,9.626452206957133
54.0,1.0,0.0,0.01,0.06,4.395580913621758,9.604434813688407
55.0,1.0,0.0,0.01,0.06,4.421412965124783,9.579890243381753
56.0,1.0,0.0,0.01,0.06,4.446218800287455,9.553451290305972
57.0,1.0,0.0,0.01,0.06,4.470259354698335,9.525003029161587
58.0,1.0,0.0,0.01,0.06,4.493292213543156,9.494425945279659
59.0,1.0,0.0,0.01,0.06,4.515487360440453,9.46170542913236
60.0,1.0,0.0,0.01,0.06,4.536687769403436,9.427074958710067
61.0,1.0,0.0,0.01,0.06,4.5570438367204815,9.390859302212325
62.0,1.0,0.0,0.01,0.07,4.576366917004663,9.353123037838412
63.0,1.0,0.0,0.01,0.07,4.594920452231704,9.314075377128884
64.0,1.0,0.0,0.01,0.07,4.6124025527551025,9.273985906810505
65.0,1.0,0.0,0.01,0.07,4.628903537355788,9.232919323723264
66.0,1.0,0.0,0.01,0.07,4.644607665960569,9.190746640487133
67.0,1.0,0.0,0.01,0.07,4.659220158201525,9.148182475948364
68.0,1.0,0.0,0.01,0.07,4.6728787953213695,9.104904887681961
69.0,1.0,0.0,0.01,0.07,4.685549334557774,9.061155133468045
70.0,1.0,0.0,0.01,0.07,4.697380343767494,9.016602656035916
71.0,1.0,0.0,0.01,0.07,4.708150007884847,8.9720645050141
72.0,1.0,0.0,0.01,0.07,4.717932990838015,8.927106095946744
73.0,1.0,0.0,0.01,0.07,4.726750135897239,8.881665300004833
74.0,1.0,0.0,0.01,0.07,4.734618063228635,8.836361483093269
75.0,1.0,0.0,0.01,0.07,4.741544195310802,8.790857227440338
76.0,1.0,0.0,0.01,0.07,4.747553712214888,8.744939483713422
77.0,1.0,0.0,0.01,0.07,4.752665234552021,8.699354004927878
78.0,1.0,0.0,0.01,0.07,4.7569007001647705,8.65358783316996
79.0,1.0,0.0,0.01,0.07,4.760281919361823,8.607913336752326
80.0,1.0,0.0,0.01,0.07,4.76283007907756,8.562336871675084
81.0,1.0,0.0,0.01,0.07,4.764563238202035,8.516674377294112
82.0,1.0,0.0,0.01,0.07,4.765541725016641,8.47134936573209
83.0,1.0,0.0,0.01,0.07,4.765789898990799,8.42585115341349
84.0,1.0,0.0,0.01,0.07,4.765269557915961,8.380889482088598
85.0,1.0,0.0,0.01,0.07,4.76400909488905,8.335781742017629
86.0,1.0,0.0,0.01,0.07,4.762228838514687,8.291218671536033
87.0,1.0,0.0,0.01,0.07,4.759812155181317,8.246550698974433
88.0,1.0,0.0,0.01,0.07,4.756795620354292,8.202481536204914
89.0,1.0,0.0,0.01,0.07,4.7532100360213025,8.158359857553215
90.0,1.0,0.0,0.01,0.07,4.749013605094045,8.11471443189468
91.0,1.0,0.0,0.01,0.07,4.7444847525613385,8.07120848652024
92.0,1.0,0.0,0.01,0.08,4.7394332516640985,8.028139151482135
93.0,1.0,0.0,0.01,0.08,4.7338784226579875,7.98545343612168
94.0,1.0,0.0,0.01,0.08,4.727972666718872,7.943005725448904
95.0,1.0,0.0,0.01,0.08,4.721690070032145,7.9011884782732515
96.0,1.0,0.0,0.01,0.08,4.715016101581146,7.859462682153184
97.0,1.0,0.0,0.01,0.08,4.707988897620319,7.8182106745695075
98.0,1.0,0.0,0.01,0.08,4.70069090003468,7.777083455914977
99.0,1.0,0.0,0.01,0.08,4.693011344236932,7.736181471830937
100.0,1.0,0.0,0.01,0.08,4.685150633642127,7.695847213651546
101.0,1.0,0.0,0.01,0.08,4.677034930269409,7.655615749909403
102.0,1.0,0.0,0.01,0.08,4.6685429755111425,7.615805560562139
103.0,1.0,0.0,0.01,0.08,4.660097373298484,7.576194608826728
