m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
0.00001,0.00001,0,0,0,0,0
1.04761575278966E-05,0.00001,0,0,0,0,0
1.09749876549306E-05,0.00001,0,0,0,0,0
1.14975699539774E-05,0.00001,0,0,0,0,0
1.20450354025878E-05,0.00001,0,0,0,0,0
1.26185688306602E-05,0.00001,0,0,0,0,0
1.32194114846603E-05,0.00001,0,0,0,0,0
1.38488637139387E-05,0.00001,0,0,0,0,0
1.45082877849594E-05,0.00001,0,0,0,0,0
1.51991108295293E-05,0.00001,0,0,0,0,0
1.59228279334109E-05,0.00001,0,0,0,0,0
1.66810053720006E-05,0.00001,0,0,0,0,0
1.74752840000768E-05,0.00001,0,0,0,0,0
1.83073828029537E-05,0.00001,0,0,0,0,0
1.91791026167249E-05,0.00001,0,0,0,0,0
2.00923300256505E-05,0.00001,0,0,0,0,0
2.10490414451202E-05,0.00001,0,0,0,0,0
2.20513073990305E-05,0.00001,0,0,0,0,0
2.31012970008316E-05,0.00001,0,0,0,0,0
2.42012826479438E-05,0.00001,0,0,0,0,0
2.53536449397011E-05,0.00001,0,0,0,0,0
2.65608778294668E-05,0.00001,0,0,0,0,0
2.78255940220713E-05,0.00001,0,0,0,0,0
2.91505306282518E-05,0.00001,0,0,0,0,0
3.05385550883341E-05,0.00001,0,0,0,0,0
3.19926713779738E-05,0.00001,0,0,0,0,0
3.35160265093884E-05,0.00001,0,0,0,0,0
3.51119173421513E-05,0.00001,0,0,0,0,0
3.67837977182863E-05,0.00001,0,0,0,0,0
3.85352859371053E-05,0.00001,0,0,0,0,0
4.03701725859656E-05,0.00001,0,0,0,0,0
4.2292428743895E-05,0.00001,0,0,0,0,0
4.43062145758388E-05,0.00001,0,0,0,0,0
4.64158883361278E-05,0.00001,0,0,0,0,0
4.86260158006535E-05,0.00001,0,0,0,0,0
5.09413801481639E-05,0.00001,0,0,0,0,0
5.33669923120631E-05,0.00001,0,0,0,0,0
5.59081018251222E-05,0.00001,0,0,0,0,0
5.85702081805667E-05,0.00001,0,0,0,0,0
6.13590727341318E-05,0.00001,0,0,0,0,0
6.42807311728432E-05,0.00001,0,0,0,0,0
6.73415065775083E-05,0.00001,0,0,0,0,0
7.05480231071864E-05,0.00001,0,0,0,0,0
7.39072203352577E-05,0.00001,0,0,0,0,0
7.74263682681128E-05,0.00001,0,0,0,0,0
8.11130830789687E-05,0.00001,0,0,0,0,0
8.49753435908644E-05,0.00001,0,0,0,0,0
8.90215085445039E-05,0.00001,0,0,0,0,0
9.3260334688322E-05,0.00001,0,0,0,0,0
9.77009957299224E-05,0.00001,0,0,0,0,0
0.000102353102189903,0.00001,0,0,0,0,0
0.000107226722201032,0.00001,0,0,0,0,0
0.000112332403297803,0.00001,0,0,0,0,0
0.0001176811952435,0.00001,0,0,0,0,0
0.000123284673944207,0.00001,0,0,0,0,0
0.000129154966501488,0.00001,0,0,0,0,0
0.000135304777457981,0.00001,0,0,0,0,0
0.00014174741629268,0.00001,0,0,0,0,0
0.000148496826225447,0.00001,0,0,0,0,0
0.000155567614393047,0.00001,0,0,0,0,0
0.000162975083462064,0.00001,0,0,0,0,0
0.000170735264747069,0.00001,0,0,0,0,0
0.000178864952905744,0.00001,0,0,0,0,0
0.000187381742286038,0.00001,0,0,0,0,0
0.000196304065004027,0.00001,0,0,0,0,0
